ITERATION 0 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 1e-05
LOSS 5.678055763244629 	 ACC 0.0 
LOSS 7.0098419189453125 	 ACC 0.15 
LOSS 7.491582870483398 	 ACC 0.29999999999999993 
LOSS 4.228963851928711 	 ACC 0.0 
LOSS 5.897812843322754 	 ACC 0.0 
LOSS 5.4588823318481445 	 ACC 0.5 
LOSS 3.8965609073638916 	 ACC 0.4 
LOSS 6.686293125152588 	 ACC 0.0 
LOSS 8.558889389038086 	 ACC 0.25 
LOSS 5.628670692443848 	 ACC 0.0 
LOSS 7.080059051513672 	 ACC 0.14999999999999997 
LOSS 5.849873065948486 	 ACC 0.0 
LOSS 7.032907962799072 	 ACC 0.5 
LOSS 9.757758140563965 	 ACC 0.39999999999999997 
LOSS 5.872554302215576 	 ACC 0.25 
LOSS 4.464127540588379 	 ACC 0.0 
LOSS 7.284920692443848 	 ACC 0.25 
LOSS 4.695619106292725 	 ACC 0.75 
LOSS 6.243890762329102 	 ACC 0.5 
LOSS 6.188657283782959 	 ACC 0.6499999999999999 
LOSS 6.961643218994141 	 ACC 0.0 
LOSS 5.915783405303955 	 ACC 0.25 
LOSS 5.124006748199463 	 ACC 0.25 
