ITERATION 1 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 0.0001
LOSS 8.409099578857422 	 ACC 0.25 
LOSS 2.135655403137207 	 ACC 0.5 
LOSS 6.206313610076904 	 ACC 0.25 
LOSS 8.928628921508789 	 ACC 0.0 
LOSS 3.4159631729125977 	 ACC 0.0 
LOSS 7.236281394958496 	 ACC 0.25 
LOSS 6.854853630065918 	 ACC 0.5 
LOSS 5.47620964050293 	 ACC 0.0 
LOSS 8.782086372375488 	 ACC 0.14999999999999997 
LOSS 6.515473365783691 	 ACC 0.25 
LOSS 6.914719581604004 	 ACC 0.14999999999999997 
LOSS 5.909459114074707 	 ACC 0.0 
LOSS 3.1161205768585205 	 ACC 0.0 
LOSS 5.845815181732178 	 ACC 0.0 
LOSS 7.473937034606934 	 ACC 0.4 
LOSS 7.125575065612793 	 ACC 0.14999999999999997 
LOSS 7.520546913146973 	 ACC 0.0 
LOSS 3.9101288318634033 	 ACC 0.25 
LOSS 8.802624702453613 	 ACC 0.0 
LOSS 6.1939287185668945 	 ACC 0.5 
LOSS 4.318572521209717 	 ACC 0.25 
LOSS 5.010407447814941 	 ACC 0.0 
LOSS 7.777245998382568 	 ACC 0.0 
LOSS 5.811954975128174 	 ACC 0.6499999999999999 
LOSS 6.311086654663086 	 ACC 0.0 
LOSS 6.623755931854248 	 ACC 0.65 
LOSS 5.882401943206787 	 ACC 0.0 
LOSS 6.448281764984131 	 ACC 0.39999999999999997 
LOSS 6.4016218185424805 	 ACC 0.5 
LOSS 5.97370719909668 	 ACC 0.25 
LOSS 6.147508144378662 	 ACC 0.25 
LOSS 7.869828701019287 	 ACC 0.5 
LOSS 5.816540718078613 	 ACC 0.6499999999999999 
LOSS 8.1653413772583 	 ACC 0.5 
LOSS 6.14850378036499 	 ACC 0.6499999999999999 
LOSS 5.881330490112305 	 ACC 0.0 
LOSS 6.457523345947266 	 ACC 0.0 
LOSS 7.09773588180542 	 ACC 0.25 
LOSS 6.2345781326293945 	 ACC 0.25 
LOSS 4.893617153167725 	 ACC 0.5 
LOSS 7.24795389175415 	 ACC 0.25 
LOSS 7.127482891082764 	 ACC 0.0 
LOSS 4.826982498168945 	 ACC 0.65 
